city,country,lat,lng,population
Medellín,Colombia,6.2308,-75.5906,2529403
Dingxi,China,35.608,104.592,2524097
Shaoxing,China,30.0511,120.5833,2521964
Yantai,China,37.4646,121.4478,2511053
Huizhou,China,23.112,114.416,2509243
Xuanzhou,China,30.939,118.759,2500063
Mirzāpur,India,25.146,82.569,2496970
Hamburg,Germany,53.55,10,2496600
Taipei,Taiwan,25.0375,121.5625,2494813
Ankang,China,32.6854,109.029,2493436
Zigong,China,29.339,104.779,2489256
Sanming,China,26.2634,117.6389,2486450
Toluca,Mexico,19.2925,-99.6569,2476689
Huangshi,China,30.2011,115.039,2469079
Yaoundé,Cameroon,3.8667,11.5167,2440462
Zhuhai,China,22.2742,113.5719,2439585
Huludao,China,40.711,120.837,2434194
Baoshan,China,25.112,99.161,2431211
Mecca,Saudi Arabia,21.4225,39.8261,2427924
Vancouver,Canada,49.25,-123.1,2426160
Lianshan,China,40.7523,120.828,2426000
Beirut,Lebanon,33.8981,35.5058,2421354
Salvador,Brazil,-12.9831,-38.4928,2417678
Bucharest,Romania,44.4325,26.1039,2412530
Longba,China,33.3702,104.9603,2407272
Nāgpur,India,21.1497,79.0806,2405665
Queens,United States,40.7498,-73.7976,2405464
Tieling,China,42.2237,123.726,2388294
Yunfu,China,22.9152,112.0445,2383350
Bekasi,Indonesia,-6.2333,107,2381053
Daegu,"Korea, South",35.8717,128.6017,2376044
Ghāziābād,India,28.67,77.42,2375820
Luoyang,China,34.6197,112.4539,2372571
Luohe,China,33.5804,114.0166,2367490
Algiers,Algeria,36.7325,3.0872,2364230
Anshun,China,26.2531,105.9476,2353100
Huainan,China,32.6314,117.0194,2333896
Depok,Indonesia,-6.394,106.8225,2330333
Konya,Turkey,37.8667,32.4833,2320241
Haiphong,Vietnam,20.8651,106.6838,2310280
Yanjiang,China,30.129,104.627,2308631
Guangyuan,China,32.436,105.844,2305657
Baku,Azerbaijan,40.3667,49.8352,2300500
Yingkou,China,40.625,122.219,2296540
Mudanjiang,China,44.5514,129.6329,2290208
Riverside,United States,33.9381,-117.3949,2288508
Fukuoka,Japan,33.59,130.4017,2286000
Nantong,China,31.981,120.894,2261382
Lincang,China,23.884,100.089,2257991
Las Vegas,United States,36.2333,-115.2654,2256509
Haikou,China,20.0186,110.3488,2250000
Yuxi,China,24.347,102.527,2249502
Tangerang,Indonesia,-6.1703,106.6403,2237006
Supaul,India,26.126,86.605,2229076
Almaty,Kazakhstan,43.24,76.915,2228675
Vienna,Austria,48.2083,16.3725,2223236
Eşfahān,Iran,32.6653,51.6703,2219343
Xining,China,36.6224,101.7804,2208708
Jincheng,China,35.491,112.852,2194545
Baltimore,United States,39.3051,-76.6144,2189589
Dandong,China,40.1167,124.3833,2188436
Yan’an,China,36.65,109.494,2187009
Qinbaling,China,35.7091,107.6436,2179716
Gaoping,China,30.7824,106.1281,2174000
Awka,Nigeria,6.2069,7.0678,2171900
Taizhou,China,28.6557,121.4208,2162461
Ma’anshan,China,31.669,118.507,2159930
Jiamusi,China,46.8,130.319,2156505
Perth,Australia,-31.9558,115.8597,2141834
Gaziantep,Turkey,37.0628,37.3792,2130432
Phnom Penh,Cambodia,11.5696,104.921,2129371
St. Louis,United States,38.6359,-90.2451,2127843
Mogadishu,Somalia,2.0392,45.3419,2120000
Lishui,China,28.468,119.923,2116957
Kowloon,Hong Kong,22.3167,114.1833,2108419
Córdoba,Argentina,-31.4167,-64.1833,2106734
Zamboanga City,Philippines,6.9042,122.0761,2100000
Rawalpindi,Pakistan,33.6,73.0333,2098231
Havana,Cuba,23.1367,-82.3589,2089532
Chongzuo,China,22.377,107.365,2088692
Portland,United States,45.5371,-122.65,2084045
Laibin,China,23.7501,109.2212,2074611
San Antonio,United States,29.4632,-98.5238,2069843
Vadodara,India,22.3,73.2,2065771
Qingyang,China,24.7816,118.5517,2061600
Rājkot,India,22.3,70.7833,2043000
Shangzhou,China,33.8734,109.9186,2041231
Vishākhapatnam,India,17.7042,83.2978,2035922
Shengli,China,37.434,118.6746,2035338
Sanmenxia,China,34.7732,111.2004,2034872
Warsaw,Poland,52.23,21.0111,2028000
Gujranwala,Pakistan,32.1567,74.19,2027001
Hezhou,China,24.4042,111.5672,2007858
Aleppo,Syria,36.2319,37.1681,2003671
Tijuana,Mexico,32.525,-117.0333,2002000
Puning,China,23.298,116.166,1998619
Indore,India,22.7167,75.8472,1994397
Minsk,Belarus,53.9006,27.5586,1992862
Karaj,Iran,35.8292,50.9675,1973470
Kananga,Congo (Kinshasa),-5.897,22.4488,1971704
Huaibei,China,33.956,116.798,1970265
Peshawar,Pakistan,34.0144,71.5675,1970042
Sacramento,United States,38.5677,-121.4685,1962998
Sapporo,Japan,43.0619,141.3544,1959313
Tilburg,Netherlands,51.5572,5.0911,1944588
Austin,United States,30.3005,-97.7522,1915031
Orlando,United States,28.4773,-81.337,1913597
Davao,Philippines,7.07,125.6,1910167
Songjiang,China,31.0058,121.2333,1909713
Yinchuan,China,38.485,106.225,1901793
Abhepur,India,39.41,116.38,1895686
Thāne,India,19.1972,72.9722,1886941
Multan,Pakistan,30.1978,71.4697,1871843
Port Harcourt,Nigeria,4.8242,7.0336,1865000
Fushun,China,41.881,123.957,1861372
Tainan,Taiwan,22.9833,120.1833,1856642
Pingliang,China,35.5424,106.6649,1848607
Siping,China,43.1668,124.3506,1814733
San Juan,Puerto Rico,18.3985,-66.061,1809800
Pingxiang,China,27.659,113.887,1804805
Bhopāl,India,23.2599,77.4126,1798218
Mosul,Iraq,36.3667,43.1167,1792000
Diyarbakır,Turkey,37.91,40.24,1791373
Lubumbashi,Congo (Kinshasa),-11.6647,27.4794,1786397
Benin City,Nigeria,6.3333,5.6222,1780000
Curitiba,Brazil,-25.4297,-49.2719,1773718
San Jose,United States,37.3012,-121.848,1771563
Shuyangzha,China,34.1299,118.7734,1770000
Adana,Turkey,37,35.3213,1765981
Quito,Ecuador,-0.22,-78.5125,1763275
Āgra,India,27.18,78.02,1760285
Peyanvilai,India,8.9,77.9833,1750176
Lusaka,Zambia,-15.4167,28.2833,1747152
Indianapolis,United States,39.7771,-86.1458,1740984
Hyderabad City,Pakistan,25.3792,68.3683,1732693
Pimpri-Chinchwad,India,18.6186,73.8037,1729320
Maracay,Venezuela,10.2469,-67.5961,1723236
Masqaţ,Oman,23.614,58.5911,1720000
Montevideo,Uruguay,-34.9056,-56.1842,1719453
Pittsburgh,United States,40.4397,-79.9763,1712828
Cincinnati,United States,39.1413,-84.506,1704916
Manhattan,United States,40.7834,-73.9662,1694263
Kansas City,United States,39.1238,-94.5541,1686807
Budapest,Hungary,47.4983,19.0408,1686222
Patna,India,25.594,85.1376,1684222
Kampala,Uganda,0.3136,32.5811,1680600
Beihai,China,21.481,109.12,1680000
Sanzhou,China,30.82,108.4,1680000
Cleveland,United States,41.4764,-81.6805,1679247
Conakry,Guinea,9.5092,-13.7122,1667864
Ximeicun,China,24.9612,118.3849,1663542
Caloocan City,Philippines,14.65,120.97,1661584
Ecatepec,Mexico,19.6097,-99.06,1655015
Yushan,China,31.322,120.985,1652159
Fuxin,China,42.022,121.67,1647280
Novosibirsk,Russia,55.05,82.95,1633851
Bilāspur,India,22.09,82.15,1625502
Semarang,Indonesia,-6.99,110.4225,1621384
Jingdezhen,China,29.2917,117.1986,1618979
Ludhiāna,India,30.91,75.85,1618879
Liaoyang,China,41.279,123.176,1604580
Jiangyin,China,31.839,120.295,1595138
Valencia,Spain,39.47,-0.3764,1595000
Shuozhou,China,39.3317,112.4329,1593444
León de los Aldama,Mexico,21.1167,-101.6833,1579803
Columbus,United States,39.9862,-82.9855,1578153
Puebla,Mexico,19.0333,-98.1833,1576259
Biên Hòa,Vietnam,10.95,106.8167,1575000
Chengtangcun,China,35.0833,117.15,1574648
Yopougon,Côte d’Ivoire,5.3748,-4.0867000000000004,1571065
Hebi,China,35.748,114.297,1565973
Shīrāz,Iran,29.61,52.5425,1565572
Dushanbe,Tajikistan,38.5367,68.78,1564700
Madurai,India,9.9252,78.1198,1561129
Huzhou,China,30.8925,120.0875,1558826
Harare,Zimbabwe,-17.8292,31.0522,1558823
Tabrīz,Iran,38.0817,46.2992,1558693
Jamshedpur,India,22.7925,86.1842,1558000
Baicheng,China,45.62,122.838,1551378
San José,Costa Rica,9.9325,-84.08,1543000
Shaoyang,China,32.912,119.8526,1542600
San Salvador,El Salvador,13.6989,-89.1914,1538525
Palembang,Indonesia,-2.9861,104.7556,1535952
Kawasaki,Japan,35.5167,139.7,1531646
Kōbe,Japan,34.69,135.1956,1521707
Jiaxing,China,30.747,120.756,1518654
Zhangjiajie,China,29.117,110.479,1517027
Baiyin,China,36.5451,104.1389,1512110
Guiping,China,23.4,110.0833,1511011
Changshu,China,31.656,120.753,1510100
Jixi,China,45.295,130.969,1502060
Xushan,China,30.1667,121.2333,1502000
Lomé,Togo,6.1308,1.2153,1500000
Niamey,Niger,13.515,2.1175,1496260
Gwangju,"Korea, South",35.1653,126.8486,1490092
Recife,Brazil,-8.0539,-34.8808,1488920
Nāsik,India,19.9975,73.7898,1486053
Abu Dhabi,United Arab Emirates,24.4667,54.3667,1483000
Onitsha,Nigeria,6.1667,6.7833,1483000
Amsterdam,Netherlands,52.3728,4.8936,1477213
Vijayavāda,India,16.5193,80.6305,1476931
Zapopan,Mexico,20.7167,-103.4,1476491
Daejeon,"Korea, South",36.35,127.385,1475221
Bronx,United States,40.8501,-73.8662,1472654
Auckland,New Zealand,-36.8492,174.7653,1470100
Yekaterinburg,Russia,56.8356,60.6128,1468833
Wuwei,China,37.929,102.638,1464955
Jinhua,China,29.079,119.647,1463990
Kyōto,Japan,35.0117,135.7683,1463723
Pizhou,China,34.398,117.89,1458038
Yangshe,China,31.8767,120.556,1447600
Dakar,Senegal,14.6726,-17.432,1438725
Charlotte,United States,35.2083,-80.8303,1436613
Yucheng,China,30.01,103.0415,1434603
Kayseri,Turkey,38.7225,35.4875,1434357
Virginia Beach,United States,36.7335,-76.0435,1431821
Rui’an,China,27.7833,120.625,1424667
Muscat,Oman,23.6139,58.5922,1421409
Kharkiv,Ukraine,49.9925,36.2311,1421125
Pointe-Noire,Congo (Brazzaville),-4.7975,11.8503,1420612
Medina,Saudi Arabia,24.47,39.61,1411599
Sangereng,Indonesia,-6.2889,106.7181,1404785
Farīdābād,India,28.4211,77.3078,1404653
Sofia,Bulgaria,42.6979,23.3217,1404116
Ulaanbaatar,Mongolia,47.9214,106.9055,1396288
Adelaide,Australia,-34.9275,138.6,1387290
Prague,Czechia,50.0875,14.4214,1384732
Wenling,China,28.3667,121.3667,1366794
Copenhagen,Denmark,55.6805,12.5615,1366301
Najafgarh,India,28.6125,76.9847,1365152
Lianjiang,China,21.7333,110.2833,1363470
Helsinki,Finland,60.1708,24.9375,1360075
Samsun,Turkey,41.2903,36.3336,1356079
Milan,Italy,45.4669,9.19,1354196
Antalya,Turkey,36.8874,30.7075,1344000
Santiago,Dominican Republic,19.4572,-70.6889,1343423
Chizhou,China,30.6654,117.4916,1342764
Makassar,Indonesia,-5.1331,119.4136,1338663
Porto Alegre,Brazil,-30.0328,-51.23,1332845
Huangshan,China,29.7149,118.3376,1330565
Gaozhou,China,21.9244,110.8422,1328657
Barranquilla,Colombia,10.9833,-74.8019,1326588
Al Başrah,Iraq,30.515,47.81,1326564
Benxi,China,41.3039,123.7649,1326018
Saitama,Japan,35.8614,139.6456,1325843
Ahvāz,Iran,31.3047,48.6783,1325000
Guarulhos,Brazil,-23.4667,-46.5333,1324781
Leizhou,China,20.9143,110.0967,1321091
Juárez,Mexico,31.745,-106.485,1321004
Mandalay,Burma,21.9831,96.0844,1319452
Yangquan,China,37.8571,113.5804,1318505
Fuqing,China,25.7167,119.3833,1316000
Xintai,China,35.909,117.768,1315942
Wusong,China,30.945,117.811,1311726
Tongling,China,30.9456,117.8114,1311726
Calgary,Canada,51.05,-114.0667,1306784
Meerut,India,28.98,77.71,1305429
Jacksonville,United States,30.3322,-81.6749,1303156
Kuaidamao,China,41.7283,125.9397,1302778
Huazhou,China,21.664,110.6396,1291668
Milwaukee,United States,43.0642,-87.9675,1290221
Wuzhong,China,37.9978,106.1986,1284000
Belém,Brazil,-1.4558,-48.5039,1280614
Cacuaco,Angola,-8.8053,13.2444,1279488
Rosario,Argentina,-32.9575,-60.6394,1276000
Tangier,Morocco,35.7767,-5.8039,1275428
Antananarivo,Madagascar,-18.91,47.525,1275207
Canagatan,Philippines,18,121.8,1273219
Soweto,South Africa,-26.2678,27.8585,1271628
Providence,United States,41.823,-71.4187,1270529
Xiantao,China,30.328,113.443,1268715
Jabalpur,India,23.1667,79.9333,1267564
Huaiyin,China,33.5819,119.028,1264000
Yutan,China,28.278,112.552,1263332
Kazan,Russia,55.7964,49.1089,1259173
Bagam,Indonesia,1.13,104.0531,1256610
Dayan,China,26.8552,100.2259,1253878
Comayagüela,Honduras,14.098,-87.21,1250000
Brussels,Belgium,50.8467,4.3525,1249597
Laiwu,China,36.1833,117.6667,1248636
Huazhou,China,32.688,112.087,1247807
Sharjah,United Arab Emirates,25.3575,55.3908,1247749
Kalyān,India,19.24,73.13,1246381
Rucheng,China,32.246,120.591,1241700
Barquisimeto,Venezuela,10.0636,-69.3347,1240714
Yongcheng,China,33.9299,116.45,1240382
